DateTime,Bid,Ask,Close
20210103 23:00:00.000,0.0,0.0,12894.2
20210103 23:15:00.000,0.0,0.0,12889.6
20210103 23:30:00.000,0.0,0.0,12875.4
20210103 23:45:00.000,0.0,0.0,12866.1
20210104 00:00:00.000,0.0,0.0,12854.7
20210104 00:15:00.000,0.0,0.0,12854.2
20210104 00:30:00.000,0.0,0.0,12843.2
20210104 00:45:00.000,0.0,0.0,12836.7
20210104 01:00:00.000,0.0,0.0,12848.0
20210104 01:15:00.000,0.0,0.0,12845.7
20210104 01:30:00.000,0.0,0.0,12846.4
20210104 01:45:00.000,0.0,0.0,12852.9
20210104 02:00:00.000,0.0,0.0,12858.2
20210104 02:15:00.000,0.0,0.0,12862.5
20210104 02:30:00.000,0.0,0.0,12858.2
20210104 02:45:00.000,0.0,0.0,12860.9
20210104 03:00:00.000,0.0,0.0,12867.4
20210104 03:15:00.000,0.0,0.0,12873.3
20210104 03:30:00.000,0.0,0.0,12872.4
20210104 03:45:00.000,0.0,0.0,12872.7
20210104 04:00:00.000,0.0,0.0,12878.5
20210104 04:15:00.000,0.0,0.0,12876.1
20210104 04:30:00.000,0.0,0.0,12876.2
20210104 04:45:00.000,0.0,0.0,12876.2
20210104 05:00:00.000,0.0,0.0,12876.3
20210104 05:15:00.000,0.0,0.0,12869.8
20210104 05:30:00.000,0.0,0.0,12865.6
20210104 05:45:00.000,0.0,0.0,12869.9
20210104 06:00:00.000,0.0,0.0,12876.0
20210104 06:15:00.000,0.0,0.0,12881.8
20210104 06:30:00.000,0.0,0.0,12890.4
20210104 06:45:00.000,0.0,0.0,12892.7
20210104 07:00:00.000,0.0,0.0,12923.0
20210104 07:15:00.000,0.0,0.0,12918.3
20210104 07:30:00.000,0.0,0.0,12922.3
20210104 07:45:00.000,0.0,0.0,12934.4
20210104 08:00:00.000,0.0,0.0,12946.6
20210104 08:15:00.000,0.0,0.0,12932.2
20210104 08:30:00.000,0.0,0.0,12935.5
20210104 08:45:00.000,0.0,0.0,12934.3
20210104 09:00:00.000,0.0,0.0,12944.8
20210104 09:15:00.000,0.0,0.0,12954.2
20210104 09:30:00.000,0.0,0.0,12958.2
20210104 09:45:00.000,0.0,0.0,12950.5
20210104 10:00:00.000,0.0,0.0,12952.0
20210104 10:15:00.000,0.0,0.0,12940.5
20210104 10:30:00.000,0.0,0.0,12948.6
20210104 10:45:00.000,0.0,0.0,12941.7
20210104 11:00:00.000,0.0,0.0,12945.4
20210104 11:15:00.000,0.0,0.0,12942.4
20210104 11:30:00.000,0.0,0.0,12949.8
20210104 11:45:00.000,0.0,0.0,12942.3
20210104 12:00:00.000,0.0,0.0,12939.7
20210104 12:15:00.000,0.0,0.0,12941.5
20210104 12:30:00.000,0.0,0.0,12946.3
20210104 12:45:00.000,0.0,0.0,12954.4
20210104 13:00:00.000,0.0,0.0,12949.9
20210104 13:15:00.000,0.0,0.0,12945.0
20210104 13:30:00.000,0.0,0.0,12953.1
20210104 13:45:00.000,0.0,0.0,12943.3
20210104 14:00:00.000,0.0,0.0,12938.7
20210104 14:15:00.000,0.0,0.0,12936.1
20210104 14:30:00.000,0.0,0.0,12893.7
20210104 14:45:00.000,0.0,0.0,12881.3
20210104 15:00:00.000,0.0,0.0,12860.4
20210104 15:15:00.000,0.0,0.0,12882.8
20210104 15:30:00.000,0.0,0.0,12870.3
20210104 15:45:00.000,0.0,0.0,12769.1
20210104 16:00:00.000,0.0,0.0,12740.9
20210104 16:15:00.000,0.0,0.0,12726.7
20210104 16:30:00.000,0.0,0.0,12701.1
20210104 16:45:00.000,0.0,0.0,12643.2
20210104 17:00:00.000,0.0,0.0,12552.7
20210104 17:15:00.000,0.0,0.0,12604.7
